,Title,Budget,Revenue,Rating
4476,Berlin Syndrome,,"$397,783",6.3
4477,Pretty in Pink,"$9,000,000 (estimated)","$40,479,982",6.7
4478,The Great Mouse Detective,"$14,000,000 (estimated)","$38,625,550",7.1
4479,What About Bob?,"$39,000,000 (estimated)","$63,707,829",7.0
4480,Tutta la vita davanti,"€5,440,000 (estimated)","$5,788,176",6.9
4481,The War of the Roses,"$26,000,000 (estimated)","$160,188,546",6.8
4482,Glory Road,,"$42,938,449",7.2
4483,On the Rocks,,"$992,103",6.4
4484,Grabbers,"£4,000,000 (estimated)","$427,335",6.3
4485,Jimmy the Gent,,,6.6
4486,Johan Falk: GSI - Gruppen för särskilda insatser,,"$1,167,869",6.9
4487,Kilo Two Bravo,,"$34,017",7.1
4488,Diary of a Nymphomaniac,,"$2,758,691",5.7
4489,Beirut,,"$7,509,436",6.5
4490,Pokémon the Movie: I Choose You!,,"$37,552,144",6.3
4491,A Dog's Breakfast,"$120,000 (estimated)",,6.6
4492,Christ Stopped at Eboli,,"$78,736",7.7
4493,Just Go with It,"$80,000,000 (estimated)","$214,945,591",6.4
4494,Vuxna människor (TV Series ,,,6.7
4495,Beware of a Holy Whore,"DEM 1,100,000 (estimated)","$9,101",6.6
4496,Enter the Void,"$16,000,000 (estimated)","$794,042",7.2
4497,Pannaiyarum Padminiyum,,,7.9
4498,Small Town Crime,,,6.6
4499,The Shawshank Redemption,"$25,000,000 (estimated)","$28,906,619",9.3
4500,Get Over It,"$22,000,000 (estimated)","$19,900,366",5.7
4501,Atragon,,,5.8
4502,A Brilliant Young Mind,,"$1,043,620",7.1
4503,Jenny's Wedding,,"$42,927",5.6
4504,Spies Like Us,"$22,000,000 (estimated)","$60,106,536",6.4
4505,Billy Madison,"$10,000,000 (estimated)","$26,488,734",6.3
4506,Happy Tears,,"$22,464",5.2
4507,Alien: Covenant,"$97,000,000 (estimated)","$240,892,187",6.4
4508,Xenia,"€1,500 (estimated)","$139,186",6.7
4509,The Cleaning Lady (TV Series ,,,7.0
4510,Casa Grande,,"$121,280",6.8
4511,Supernova,,"$3,415,787",6.9
4512,Monsters University,"$200,000,000 (estimated)","$743,559,645",7.2
4513,House Party,,"$9,285,747",4.4
4514,Autumn Tale,,"$2,221,438",7.4
4515,Deadgirl,,,5.5
4516,The Restaurant (TV Series ,,,8.2
4517,Augustine,"€3,980,000 (estimated)","$262,390",6.1
4518,Spencer's Mountain,,,7.0
4519,Valerian and the City of a Thousand Planets,"$177,200,000 (estimated)","$225,973,340",6.4
4520,Dr. Giggles,,"$8,403,433",5.3
4521,Samurai II: Duel at Ichijoji Temple,,,7.3
4522,Deathstalker II: Duel of the Titans,"$400,000 (estimated)",,5.1
4523,The Front Line,,"$20,629,645",7.3
4524,Thirteen Days,"$80,000,000 (estimated)","$66,579,890",7.3
4525,Sweet Country,,"$1,849,718",6.9
4526,Insidious: Chapter 3,"$10,000,000 (estimated)","$112,983,889",6.1
4527,Anzio,,,6.0
4528,In Hell,"$17,000,000 (estimated)","$293,671",6.1
4529,Yo-Yo Girl Cop,,,4.9
4530,Tiny Beautiful Things (TV Mini Serie,,,7.1
4531,The Babymakers,,"$475,511",5.0
4532,Burnt,"$20,000,000 (estimated)","$36,606,743",6.6
4533,Apartment Zero,"$4,000,000 (estimated)","$1,267,578",6.8
4534,Zebrahead,,"$1,557,771",6.3
4535,The Devil at 4 O'Clock,"$5,721,786 (estimated)",,6.4
4536,Mardi Gras: Spring Break,,,5.1
4537,Veronica Guerin,"$17,000,000 (estimated)","$9,439,660",6.8
4538,Ju-on: The Beginning of the End,,"$8,867,935",5.1
4539,Creep 2,,,6.4
4540,La Vie En Rose,"$25,000,000 (estimated)","$87,485,236",7.6
4541,The Smurfs 2,"$105,000,000 (estimated)","$347,545,360",5.3
4542,Shadow Conspiracy,"$45,000,000 (estimated)","$2,312,463",4.9
4543,The Clearing (TV Mini Serie,,,6.3
4544,The Angriest Man in Brooklyn,,"$615,198",5.7
4545,Center Stage: Turn It Up,,"$34,073",6.0
4546,Star Trek: Discovery (TV Series 201,,,7.0
4547,The Wing or The Thigh?,"FRF 23,000,000 (estimated)",,7.2
4548,In Search of the Castaways,,,6.5
4549,The Thrill of It All,,,6.9
4550,Ghosts (TV Series ,,,7.9
4551,More Ants in the Pants,,"$6,320,626",4.6
4552,Early Man,"$50,000,000 (estimated)","$54,629,139",6.1
4553,Dragon Ball Z: The World's Strongest,,"$1,009,767",6.6
4554,Sphere,"$80,000,000 (estimated)","$37,020,277",6.1
4555,American Gothic (TV Series 199,,,8.1
4556,The Flock,"$35,000,000 (estimated)","$7,155,358",5.7
4557,Diary of a Wimpy Kid: Rodrick Rules,"$21,000,000 (estimated)","$72,526,996",6.6
4558,Shine a Light,,"$15,773,351",7.1
4559,Barbarella,"$9,000,000 (estimated)",,5.9
4560,Anything for Her,"€7,930,000 (estimated)","$6,548,942",7.1
4561,Aarzoo,,,5.0
4562,Blue Chips,,"$23,070,663",6.3
4563,Gandhi,"$22,000,000 (estimated)","$52,767,889",8.0
4564,Before It Ends,"€4,100,000 (estimated)",,7.0
4565,5 Days of War,"$12,000,000 (estimated)","$316,944",5.6
4566,Penny Dreadful (TV Series 201,,,8.2
4567,Unfriended,"$1,000,000 (estimated)","$62,882,090",5.6
4568,The Nativity Story,"$35,000,000 (estimated)","$46,432,264",6.8
4569,A Chinese Ghost Story II,,,6.9
4570,A Doll's House,"$900,000 (estimated)",,6.0
4571,Whatever Lola Wants,"$8,000,000 (estimated)","$655,467",6.4
4572,The Barefoot Contessa,,"$17,018",6.9
4573,The Last Picture Show,"$1,300,000 (estimated)","$29,146,255",8.0
4574,Seven Psychopaths,"$15,000,000 (estimated)","$29,347,202",7.1
4575,Inglourious Basterds,"$70,000,000 (estimated)","$321,458,605",8.4
4576,The Sweet Life,,,6.2
4577,In Dubious Battle,"$15,000,000 (estimated)","$213,982",6.0
4578,5 Fingers,,"$46,317",7.6
4579,VIP (TV Serie,,,7.4
4580,Frequently Asked Questions About Time Travel,,"$23,820",7.0
4581,Warm Bodies,"$35,000,000 (estimated)","$116,980,662",6.8
4582,Hitting the Apex,"$1,000,000 (estimated)","$148,792",8.1
4583,Blue Jasmine,"$18,000,000 (estimated)","$99,104,804",7.3
4584,Gettin' Square,,"$1,422,008",6.6
4585,The Saratov Approach,,"$2,146,999",5.5
4586,Bride Wars,"$30,000,000 (estimated)","$115,375,850",5.5
4587,Shaft's Big Score!,"$1,978,000 (estimated)",,6.0
4588,Nosferatu,,,
4589,The French Detective,,,6.8
4590,The Divergent Series: Insurgent,"$110,000,000 (estimated)","$297,002,527",6.2
4591,Flash Point,"$8,000,000 (estimated)","$6,177,725",6.7
4592,Jay and Silent Bob Strike Back,"$22,000,000 (estimated)","$33,788,161",6.8
4593,Bite the Bullet,"$4,000,000 (estimated)",,6.6
4594,The Heroes of Telemark,"$5,600,000 (estimated)",,6.5
4595,High Anxiety,"$4,015,000 (estimated)","$31,063,038",6.6
4596,Hamilton: In the Interest of the Nation,"SEK 45,000,000 (estimated)","$8,249,053",6.3
4597,Mr. Pip,,"$977,855",7.1
4598,West Side Story,"$100,000,000 (estimated)","$76,016,171",7.1
4599,Born Romantic,,"$376,090",6.4
4600,Shoot 'Em Up,"$39,000,000 (estimated)","$27,122,238",6.6
4601,Nanga Parbat,"€7,000,000 (estimated)","$2,593,419",6.5
4602,Picture Perfect,"$10,000,000 (estimated)","$44,332,015",5.5
4603,Firehouse Dog,,"$17,384,424",5.5
4604,Total Chaos,,"$184,730",5.0
4605,Joy of Fatherhood,"€5,500,000 (estimated)","$27,088,817",5.6
4606,Eden Lake,,"$3,984,669",6.7
4607,The Mask of Dimitrios,,,7.2
4608,The Hallelujah Trail,"$7,000,000 (estimated)",,6.4
4609,Christiane F.,"DEM 4,000,000 (estimated)",,7.5
4610,Drowning Mona,"$37,000,000 (estimated)","$15,910,104",5.7
4611,Above Us the Waves,,,6.6
4612,The Dust Factory,,"$12,311",5.8
4613,Kingdom of Heaven,"$130,000,000 (estimated)","$218,237,071",7.3
4614,My Blood Runs Cold,,,5.5
4615,Ride with Norman Reedus (TV Series ,,,8.2
4616,Miraculous: Tales of Ladybug & Cat Noir (TV Series ,,,7.5
4617,Thief of Hearts,"$9,000,000 (estimated)","$10,435,015",5.7
4618,Tiger House,,"$65,821",5.2
4619,Eight Legged Freaks,"$30,000,000 (estimated)","$45,867,333",5.5
4620,Murder on a Sunday Morning,,"$5,844",7.9
4621,Pulse,,"$318,451",6.5
4622,The Woman in Black 2: Angel of Death,"$15,000,000 (estimated)","$48,854,305",4.8
4623,Twice-Told Tales,,,6.6
4624,Revenge of the Green Dragons,"$5,000,000 (estimated)","$107,412",5.3
4625,Knightriders,"$3,000,000 (estimated)",,6.3
4626,Bottle Shock,"$5,000,000 (estimated)","$4,629,770",6.8
4627,The Texas Chain Saw Massacre,"$140,000 (estimated)","$30,861,288",7.4
4628,Neon Genesis Evangelion: The End of Evangelion,,"$1,563,523",8.1
4629,Beer for My Horses,,"$666,045",4.8
4630,Of Mice and Men,,"$5,471,088",7.4
4631,Bad Johnson,,"$27,650",4.5
4632,Diary of a Wimpy Kid: Dog Days,"$22,000,000 (estimated)","$77,229,695",6.3
4633,Java Heat,"$15,000,000 (estimated)","$189,739",5.1
4634,Sex Ed,,"$36,842",5.6
4635,One Minute History (TV Series ,,,
4636,Happy New Year,,"$3,086,192",5.0
4637,The Kid Stays in the Picture,,"$1,521,593",7.3
4638,Divergent,"$85,000,000 (estimated)","$288,885,818",6.6
4639,Panic Button,"£300,000 (estimated)",,5.3
4640,The Edukators,,"$8,152,859",7.4
4641,Grizzly Man,,"$4,064,179",7.8
4642,Charly,,"$18,530,000",6.9
4643,Secuestro express,,"$1,898,606",6.5
4644,Hyena Road,,"$87,768",6.5
4645,Silent Witness (TV Series ,,,7.9
4646,Eurovision Song Contest: The Story of Fire Saga,,,6.5
4647,Brother's Keeper,,"$1,010",7.3
4648,Lost Highway,"$15,000,000 (estimated)","$3,836,866",7.6
4649,Abraham Lincoln: Vampire Hunter,"$69,000,000 (estimated)","$116,471,580",5.9
4650,The War at Home (TV Series 200,,,7.5
4651,Kevin Hart: What Now?,"$9,900,000 (estimated)","$23,591,043",5.9
4652,Pet Sematary,"$11,500,000 (estimated)","$57,470,138",6.5
4653,Her Minor Thing,,,5.1
4654,The Long Good Friday,,,7.6
4655,21 Grams,"$20,000,000 (estimated)","$60,466,876",7.6
4656,Ground Control,,,5.7
4657,Space Chimps,"$37,000,000 (estimated)","$65,097,693",4.5
4658,The Confirmation,,"$8,382",6.4
4659,The Campaign,"$95,000,000 (estimated)","$104,907,746",6.1
4660,December Boys,"$4,000,000 (estimated)","$1,175,579",6.5
4661,The Fortunes and Misfortunes of Moll Flanders (TV Mini Serie,,,7.7
4662,My Sex Life... or How I Got Into an Argument,,,6.7
4663,Sex and Lucía,,"$7,640,680",7.0
4664,Zivot i smrt porno bande,"€140,000 (estimated)",,6.0
4665,Mr. Popper's Penguins,"$55,000,000 (estimated)","$187,361,754",6.0
4666,In the Blood,"$10,000,000 (estimated)","$594,860",5.7
4667,Cinderella Liberty,"$2,465,000 (estimated)",,6.7
4668,Tron: Legacy,"$170,000,000 (estimated)","$400,070,496",6.8
4669,Baron Blood,,,5.9
4670,We Bought a Zoo,"$50,000,000 (estimated)","$120,081,841",7.0
4671,Inside Daisy Clover,"$4,500,000 (estimated)",,6.1
4672,The Earrings of Madame De...,,"$135,636",7.9
4673,Divided We Fall,,"$2,046,440",7.6
4674,Disobedience,"$6,000,000 (estimated)","$8,003,180",6.6
4675,Roman Polanski: Wanted and Desired,,"$100,458",7.2
4676,Weekend at Bernie's II,"$7,000,000 (estimated)","$12,741,891",4.8
4677,"Lock, Stock and Two Smoking Barrels","£960,000 (estimated)","$3,753,929",8.1
4678,River's Edge,"$1,900,000 (estimated)","$4,600,000",6.9
4679,Ghostbusters: Frozen Empire,"$100,000,000 (estimated)","$177,289,193",6.4
4680,Hanussen,,"$82,635",7.2
4681,Asterix and the Vikings,,"$22,501,596",6.0
4682,Block-Heads,,,7.5
4683,Cradle 2 the Grave,"$25,000,000 (estimated)","$56,489,558",5.8
4684,The Color Purple,"$100,000,000 (estimated)","$67,519,191",6.9
4685,Night Falls on Manhattan,,"$9,889,670",6.6
4686,...And God Created Woman,"$300,000 (estimated)",,6.3
4687,The Demon Disorder,,,
4688,Where the Money Is,"$28,000,000 (estimated)","$7,450,414",6.3
4689,Story of a Prostitute,,,7.3
4690,Man Bites Dog,"BEF 1,000,000 (estimated)","$205,569",7.4
4691,Trespass,"$35,000,000 (estimated)","$10,117,966",5.3
4692,Hey Arnold: The Jungle Movie (TV Movi,,,7.4
4693,Young Winston,,,6.7
4694,The Dark Half,"$15,000,000 (estimated)","$10,611,160",6.0
4695,Straw Dogs,"$3,251,794 (estimated)",,7.4
4696,Star Trek: The Next Generation (TV Series 198,,,8.7
4697,Throne of Blood,,"$46,808",8.0
4698,Ashby,"$12,000,000 (estimated)","$122,919",6.4
4699,Harley Davidson and the Marlboro Man,"$23,000,000 (estimated)","$7,434,726",6.1
4700,Crazy People,,"$13,236,513",6.0
4701,Colossal,"$15,000,000 (estimated)","$4,531,320",6.2
4702,Stonewall,"$13,500,000 (estimated)","$292,669",5.3
4703,Happy Hunting,,,5.1
4704,West of Memphis,,"$318,317",7.9
4705,An Englishman in New York,,,7.2
4706,Atrocious,"$7,000 (estimated)",$74,5.0
4707,Black Mask,,"$12,504,289",6.0
4708,Young Hearts,,,7.8
4709,A Difficult Life,,"$71,630",8.0
4710,Made in Dagenham,"$7,200,000 (estimated)","$12,629,471",7.1
4711,King Uncle,,,5.2
4712,Molly's Game,"$30,000,000 (estimated)","$59,284,015",7.4
4713,They Were Expendable,,,7.2
4714,Pretty Woman,"$14,000,000 (estimated)","$463,406,268",7.1
4715,Once Upon a Time in Shanghai,"$10,000,000 (estimated)","$566,985",6.7
4716,Bill & Ted's Bogus Journey,"$20,000,000 (estimated)","$38,040,268",6.3
4717,Remember the Daze,,,5.6
4718,Only the Strong,"$6,000,000 (estimated)","$3,283,371",6.5
4719,Eating Out: All You Can Eat,,,5.8
4720,The Battle of Algiers,"$800,000 (estimated)","$962,002",8.1
4721,The Boston Strangler,"$4,100,000 (estimated)","$9,439",7.1
4722,The World Made Straight,,,5.5
4723,Punchline,"$15,000,000 (estimated)","$21,042,667",5.9
4724,Sleight,"$250,000 (estimated)","$3,989,705",5.9
4725,"Next Stop, Greenwich Village",,,7.0
4726,Black Sunday,,,7.1
4727,Harold and Maude,"$1,200,000 (estimated)","$2,614",7.9
4728,The Great White Hype,,"$8,008,255",5.5
4729,Bachelor Party,"$5,000,000 (estimated)","$38,435,947",6.3
4730,The Golden Compass,"$180,000,000 (estimated)","$372,234,864",6.1
4731,Trouble in Paradise,"$519,706 (estimated)",$345,7.9
4732,Qwerty,,,5.0
4733,Latter Days,"$850,000 (estimated)","$865,028",7.0
4734,The American Society of Magical Negroes,,"$2,480,645",2.8
4735,Spice World,"$25,000,000 (estimated)","$29,344,278",3.7
4736,Three-Body (TV Series ,,,7.6
4737,Becoming Warren Buffett,,,7.5
4738,Monsters: Dark Continent,,"$306,004",4.3
4739,Innerspace,"$27,000,000 (estimated)","$25,893,810",6.8
4740,Fireflies in the Garden,"$8,000,000 (estimated)","$6,692,182",6.4
4741,100 Meters,"€2,400,000 (estimated)","$2,091,517",7.5
4742,The House of Mirth,"$10,000,000 (estimated)","$5,164,404",7.0
4743,Dead Meat,,,4.7
4744,All for the Winner,,"$5,305,231",6.8
4745,House of Dark Shadows,"$750,000 (estimated)",,6.2
4746,I Am David,,"$329,577",7.1
4747,Playing for Keeps,"$35,000,000 (estimated)","$30,962,335",5.7
4748,Gymkata,,"$5,730,596",4.4
4749,My Salinger Year,,"$957,592",6.5
4750,Four Rooms,"$4,000,000 (estimated)","$4,257,354",6.7
4751,The Howling,"$1,000,000 (estimated)","$17,985,893",6.5
4752,The Lives of Others,"$2,000,000 (estimated)","$77,357,476",8.4
4753,The Queen's Gambit (TV Mini Serie,,,8.5
4754,Coursier,,"$2,314,305",5.8
4755,Goodfellas,"$25,000,000 (estimated)","$47,049,784",8.7
4756,Malcolm X,"$33,000,000 (estimated)","$48,169,910",7.7
4757,Man-Thing,"$5,000,000 (estimated)","$1,123,136",4.1
4758,The Green Planet,"FRF 80,000,000 (estimated)",,7.1
4759,Grosse Pointe Blank,"$15,000,000 (estimated)","$28,084,357",7.3
4760,Tales from the Crypt: Demon Knight,"$13,000,000 (estimated)","$21,089,146",6.7
4761,"Honey, I Blew Up the Kid","$40,000,000 (estimated)","$58,662,452",4.9
4762,The Wildest Dream,,"$898,137",7.2
4763,The Man in the High Castle (TV Series 201,,,7.9
4764,Rock of Ages,"$75,000,000 (estimated)","$59,418,613",5.9
4765,Midnight Sun,"$2,800,000 (estimated)","$27,365,467",6.6
4766,Eurovision Song Contest: The Story of Fire Saga,,,6.5
4767,In Order of Disappearance,"€4,576,591 (estimated)","$904,446",7.1
4768,Chuck,,"$502,518",6.5
4769,A Mighty Heart,"$16,000,000 (estimated)","$19,008,745",6.6
4770,Tickling Giants,,"$51,499",8.2
4771,The Wizard of Oz,"$2,777,000 (estimated)","$25,637,669",8.1
4772,Sweet Bird of Youth,,,7.2
4773,Attack on Titan (TV Series 201,,,9.1
4774,The Baytown Outlaws,"$4,000,000 (estimated)","$37,470",6.3
4775,Waterloo Road (TV Series ,,,7.1
4776,The Lunchbox,"$1,000,000 (estimated)","$11,621,785",7.8
4777,Sin City,"$40,000,000 (estimated)","$158,733,820",8.0
4778,Apostle,,,6.3
4779,Psychosis,"$1,200,000 (estimated)",,3.6
4780,True Confessions,"$10,000,000 (estimated)","$12,850,276",6.3
4781,Arundhati,,,5.1
4782,My Old Lady,"$5,000,000 (estimated)","$10,606,667",6.4
4783,Revenge of the Nerds,"$8,000,000 (estimated)","$40,874,452",6.6
4784,HouseSitter,"$26,000,000 (estimated)","$94,900,635",6.2
4785,Rosemary's Baby,"$2,300,000 (estimated)","$1,287",8.0
4786,Rampart,"$12,000,000 (estimated)","$1,567,905",5.8
4787,Zero Day (TV Mini ,,,
4788,Screw (TV Series 202,,,6.9
4789,Osmosis Jones,"$70,000,000 (estimated)","$14,026,418",6.3
4790,Monsieur Lazhar,,"$9,074,711",7.5
4791,Departure (TV Series 201,,,6.9
4792,The Long Walk Home,,"$4,873,620",7.3
4793,Hellion,,"$55,708",6.0
4794,Earth Girls Are Easy,"$10,000,000 (estimated)","$3,916,303",5.4
4795,Club Paradise,"$15,000,000 (estimated)","$12,308,521",5.1
4796,Spy Hard,"$18,000,000 (estimated)","$26,960,191",5.3
4797,The Blair Witch Project,"$60,000 (estimated)","$248,639,099",6.5
4798,The Canal,,"$75,212",5.8
4799,Ittefaq,"₹290,000,000 (estimated)","$2,520,487",7.2
4800,A Christmas Story,"$3,300,000 (estimated)","$20,791,797",7.9
4801,Off the Map (TV Serie,,,7.2
4802,Appleseed: Ex Machina,,$662,7.0
4803,Star Trek: Section 31,,,
4804,An American Haunting,"$14,000,000 (estimated)","$29,612,137",5.0
4805,Deal of the Century,"$10,000,000 (estimated)","$10,369,581",4.6
4806,Tom of Finland,"€5,000,000 (estimated)","$1,792,414",6.8
4807,Shrek 2,"$150,000,000 (estimated)","$932,130,052",7.3
4808,Lust of the Vampire,,,6.5
4809,The Big Short,"$28,000,000 (estimated)","$133,440,870",7.8
4810,"You, Me and Dupree","$54,000,000 (estimated)","$130,628,903",5.6
4811,The Call of the Wild,"$135,000,000 (estimated)","$111,166,669",6.7
4812,99 Francs,"€12,447,638 (estimated)","$13,444,973",7.1
4813,The Company Men,"$15,000,000 (estimated)","$8,087,000",6.7
4814,Macao,,"$3,530",6.6
4815,Couples Retreat,"$70,000,000 (estimated)","$171,844,840",5.5
4816,Friday the 13th Part VI: Jason Lives,"$3,000,000 (estimated)","$19,472,525",6.0
4817,My Mistress,,,5.4
4818,LadyGang (TV Series 201,,,7.0
4819,The Gingerbread Man,"$25,000,000 (estimated)","$1,677,131",5.7
4820,Dragnet 1967 (TV Series 196,,,7.7
4821,Paddington 2,"$40,000,000 (estimated)","$227,309,407",7.8
4822,Wicked City,,,6.7
4823,Blood Fest,"$1,200,000 (estimated)","$122,833",5.4
4824,Double Impact,"$15,000,000 (estimated)","$30,102,717",5.6
4825,Konosuba: God's Blessing on This Wonderful World! (TV Series 201,,,7.8
4826,Hangover Square,"$1,154,000 (estimated)",,7.4
4827,The Valdemar Legacy,"€6,500,000 (estimated)","$1,493,227",5.5
4828,Alto Knights,,,
4829,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$70,000,000 (estimated)","$180,513,586",7.2
4830,Failure to Launch,"$50,000,000 (estimated)","$130,224,158",5.6
4831,Quick Change,"$17,000,000 (estimated)","$15,260,154",6.8
4832,Shinjuku Incident,"$15,000,000 (estimated)","$5,461,200",6.9
4833,Inside Job (TV Series 202,,,7.7
4834,The Adventures of Ford Fairlane,"$20,000,000 (estimated)","$21,413,502",6.4
4835,Waiting...,"$3,000,000 (estimated)","$18,637,690",6.7
4836,Small Time Crooks,"$25,000,000 (estimated)","$29,934,477",6.7
4837,Ashes of Time,"HK$40,000,000 (estimated)","$2,009,694",7.0
4838,The Man Who Would Be King,"$8,000,000 (estimated)","$12,678",7.8
4839,Starting Over,,"$35,649,012",6.4
4840,Dragon Fist,,,6.1
4841,Carrington,,"$3,242,342",6.8
4842,Who's Harry Crumb?,,"$10,982,364",5.9
4843,Bitch Hug,,"$350,557",6.0
4844,Filth,"$5,000,000 (estimated)","$8,490,396",7.0
4845,X-Men '97 (TV Series ,,,9.0
4846,The Love Letter (TV Movi,,,7.2
4847,Broken Arrow,"$50,000,000 (estimated)","$150,270,147",6.1
4848,Noriko's Dinner Table,,"$7,810",7.1
4849,Sonja and the Bull,,,6.9
4850,Under the Mountain,,"$662,879",4.8
4851,The Flight of the Phoenix,"$5,355,000 (estimated)",,7.5
4852,Absolute Power,"$50,000,000 (estimated)","$50,068,310",6.7
4853,Girl in the Bunker (TV Movi,,,5.8
4854,Bridget Jones's Baby,"$35,000,000 (estimated)","$211,952,420",6.5
4855,Lucky Number Slevin,"$27,000,000 (estimated)","$56,308,881",7.7
4856,Café. Waiting. Love,,"$4,747,792",6.5
4857,Assassination Games,"$8,000,000 (estimated)","$110,784",6.1
4858,The Hard Way,"$24,000,000 (estimated)","$65,595,485",6.3
4859,NASCAR: Full Speed (TV Series ,,,7.3
4860,Body Parts,"$10,000,000 (estimated)","$9,188,150",5.7
4861,Detective Chinatown 3,"$116,630,000 (estimated)","$686,257,563",5.6
4862,Eating Out 2: Sloppy Seconds,,"$37,072",6.2
4863,Manmadhudu,,,8.3
4864,All About Lily Chou-Chou,,"$38,082",7.5
4865,Vulgar,"$120,000 (estimated)","$15,927",5.2
4866,Pontypool,"$950,000 (estimated)","$32,118",6.5
4867,Smiley Face,,"$179,381",5.8
4868,3 from Hell,"$3,000,000 (estimated)","$2,295,825",5.4
4869,Charlie Chan at the Opera,,,7.1
4870,The Jewel Thief,,,6.5
4871,A Simple Plan,"$30,000,000 (estimated)","$16,316,273",7.5
4872,Adulterers,"$750,000 (estimated)",,5.1
4873,X-Men: First Class,"$160,000,000 (estimated)","$352,616,690",7.7
4874,Eating Out,"$50,000 (estimated)","$155,212",5.8
4875,ABBA: The Movie,,"$144,398",6.5
4876,Boy Erased,"$11,000,000 (estimated)","$11,853,081",6.9
4877,Meet the Browns (TV Series 200,,,3.7
4878,The Assassination of Jesse James by the Coward Robert Ford,"$30,000,000 (estimated)","$15,003,764",7.5
4879,"Legally Blonde 2: Red, White & Blonde","$45,000,000 (estimated)","$124,914,842",4.8
4880,Snowpiercer (TV Series 202,,,6.9
4881,The Haunting of Molly Hartley,"$5,000,000 (estimated)","$15,418,749",3.9
4882,On the Other Side of the Tracks,,"$25,109,572",5.8
4883,Grandma's Boy,,"$6,566,277",6.9
4884,Dark Tide,"$25,000,000 (estimated)","$1,167,612",4.3
4885,Bohemian Rhapsody,"$52,000,000 (estimated)","$910,813,521",7.9
4886,Part of Me,"$12,000,000 (estimated)","$32,726,956",5.9
4887,Québec-Montréal,"CA$1,900,000 (estimated)",,7.2
4888,The Truman Show,"$60,000,000 (estimated)","$264,118,712",8.2
4889,"Standing Up, Falling Down",,,6.6
4890,Snowden,"$40,000,000 (estimated)","$37,357,216",7.3
4891,The Amazing Spider-Man,"$230,000,000 (estimated)","$757,930,663",6.9
4892,Desperate Journey,"$1,209,000 (estimated)",,6.8
4893,A Family Thing,,"$10,125,417",7.1
4894,Radio Days,"$16,000,000 (estimated)","$14,792,779",7.4
4895,K-9,"$17,000,000 (estimated)","$78,247,647",6.1
4896,Dawn of the Dead,"$26,000,000 (estimated)","$102,280,154",7.3
4897,Escape from San Quentin,,,6.2
4898,"Farewell, Friend",,"$19,800,000",6.7
4899,The Sea Beyond (TV Series ,,,7.4
4900,Cléo from 5 to 7,,"$1,886",7.8
4901,Kill Me Three Times,,"$101,807",5.8
4902,Infernal Affairs,"$6,428,966 (estimated)","$8,836,958",8.0
4903,Sinister 2,"$10,000,000 (estimated)","$53,329,150",5.3
4904,Small Time Crooks,"$25,000,000 (estimated)","$29,934,477",6.7
4905,Bheja Fry,,"$3,773,555",7.6
4906,Bulletproof Monk,"$52,000,000 (estimated)","$37,713,879",5.5
4907,Dark Blue,"$15,000,000 (estimated)","$12,150,301",6.6
4908,Seven Women for Satan,,,4.6
4909,BKO: Bangkok Knockout,,"$244,992",5.4
4910,Scott Pilgrim Takes Off (TV Mini Serie,,,7.7
4911,Day for Night,,$509,8.0
4912,The Hurt Locker,"$15,000,000 (estimated)","$49,259,766",7.5
4913,Meu Tio Matou um Cara,,,6.6
4914,Aladdin,"$183,000,000 (estimated)","$1,054,304,000",6.9
4915,The Man in the Iron Mask,"$35,000,000 (estimated)","$182,968,902",6.5
4916,The Thing with Two Heads,,,4.5
4917,Temptation: Confessions of a Marriage Counselor,,"$53,143,144",4.9
4918,The Wild Pear Tree,,"$1,696,258",8.0
4919,Gulaal,,"$2,364,294",8.0
4920,Used Cars,"$8,000,000 (estimated)","$11,715,321",6.7
4921,Shaft,"$46,000,000 (estimated)","$107,626,125",6.0
4922,The Limehouse Golem,,"$2,327,419",6.3
4923,The Wrong Box,,$15,6.7
4924,Just Visiting,"$35,000,000 (estimated)","$16,176,732",5.7
4925,Beach Rats,,"$486,623",6.4
4926,Livid,"€2,390,000 (estimated)",,5.7
4927,Only You,,"$3,655,907",7.3
4928,Army of One,,"$372,194",5.2
4929,Dragon Ball Z: Super Android 13!,,"$18,554,927",7.0
4930,The Evil of Frankenstein,,,6.0
4931,A Town Called Panic,,"$505,699",7.4
4932,Willard,"$20,000,000 (estimated)","$8,564,586",6.1
4933,The Homesman,"$16,000,000 (estimated)","$3,819,421",6.6
4934,The Trust: A Game of Greed (TV Series ,,,6.3
4935,National Lampoon's Senior Trip,,"$4,686,937",5.6
4936,Anuvahood,"$1,000,000 (estimated)","$3,405,485",5.4
4937,Slums of Beverly Hills,"$5,000,000 (estimated)","$5,502,773",6.7
4938,The Dead Pool,"$31,000,000 (estimated)","$37,903,295",6.3
4939,Stay as You Are,,,6.3
4940,Planet 51,"$70,000,000 (estimated)","$105,647,102",6.0
4941,All the Boys Love Mandy Lane,"$750,000 (estimated)","$1,904,640",5.5
4942,The Scarlet Letter,"$46,000,000 (estimated)","$10,382,407",5.3
4943,Redline,,"$214,180",7.5
4944,Casualties of War,"$22,500,000 (estimated)","$18,671,317",7.1
4945,The Far Country,,,7.1
4946,Tiger on Beat,,,6.9
4947,One of Our Aircraft Is Missing,"£70,000 (estimated)",,7.0
